ISIN,NAME,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,x2020
JP3712550007,JAPAN SY.TCNQ.,,,,10.36,11.23,9.4,5.97,12.05,2.45,6.21,5.97,4.11,3.02,1.87,2.28,3.42,2.66,3.33,4.3,5.17,2.53,-0.2
JP3712600000,NSD,5.78,7.72,5.37,8.96,5.89,8.09,6.04,8.17,11.2,12.09,9.27,7.59,4.68,4.23,5.41,6.76,6.17,6.43,9.31,10.34,10.65,11.63
JP3713200008,NISSHA,2.48,1.58,2.57,3.35,3.4,5.41,6.38,9.18,8.24,7.79,6.13,4.75,-1.6,-23.5,-4.8,3.68,10.26,5.23,5.13,2.28,-8.01,4.13
JP3713400004,SUNNEXTA GROUP,,,,,,10.1,6.91,2.75,3.37,6.5,5.96,8.48,6.7,7.56,4.73,6.3,7.5,7.39,8.14,7.45,7.75,5.69
JP3713600009,NIPPON SHARYO,0.57,0.45,-2.44,0.82,0.03,0.57,1.09,-0.96,0.87,-3.61,1.6,3.37,3.49,3.94,1.32,5.08,-10.11,-11.5,-3.79,-6.29,7.3,6.32
JP3714200007,NIPPON COML.DEV.,,,,,,,,,2.92,3.88,-4.57,5.92,8.48,9.9,7.38,7.09,9.78,12.46,14.89,3.94,3.87,4.43
JP3714400003,JAPAN SECS.FINANCE,0.09,0.08,0.1,0.05,0.04,0.07,0.07,0.06,0.11,0.31,0.16,0.14,0.13,0.05,0.1,0.27,0.17,0.15,0.1,0.11,0.1,0.07
JP3715200006,NIPPON SHOKUBAI,2.34,1.5,0.75,0.94,2.76,4.27,6.88,6.21,4.77,3.8,-1.19,3.89,6.86,6.42,2.53,2.93,4.79,6.39,4.7,5.46,5.08,2.42
JP3716000009,NIPPON SIGNAL,1.35,3.09,-5.06,1.44,3.73,1.87,2.29,3.3,2.6,3.12,2.73,3.51,2.58,1.55,2.94,3.29,4.65,4.14,2.86,1.63,4,4.84
JP3717600005,NIPPON SHINYAKU,2.81,1.14,3.2,2.14,2.11,1.58,5.67,1.61,2.79,3.89,4.48,4.07,3.85,3.57,4.23,4.96,4.75,4.79,8.21,8.39,10.13,9.93
JP3718600004,NJS,,,6.02,5.21,3.02,3.06,2.88,3.23,3.26,2.96,3.18,3.18,0.23,3.73,2.5,2.51,4.41,1.41,3.23,8.3,6.83,6.86
JP3718800000,NIPPON SUISAN KAISHA,0.47,2.44,2.08,-2.21,2.76,1.45,2.43,2.42,3.1,2.98,-3.13,0.28,-0.05,1.46,-0.25,1.25,2.7,3.04,3.5,4.02,3.47,3.29
JP3720000003,NIPPON FINE CHM.,1.7,1.1,2.87,3.12,1.66,2.82,3.73,3.86,4.4,3.92,2.92,5.17,3.26,2.86,3.74,3.42,4.03,4.82,4.67,4.69,4.9,5.48
JP3720600000,NIPPON SEIKI,3.74,1.19,2.03,2.23,3.04,4.64,6.39,7.39,8.33,7.26,5.77,2.11,3.5,3.81,3.84,5.72,5.24,3.17,3.3,3.84,3.92,-0.11
JP3720800006,NSK,1.31,1.14,2.5,-1.51,0.63,2.94,4.13,4.16,4.94,5.73,0.99,1.24,3.75,3.93,2.22,3.64,6.19,6.55,4.8,6.83,5.37,1.84
JP3721400004,JAPAN STEEL WORKS,1.1,-0.04,0.1,0.75,1.06,1.46,2.15,3.74,6.04,7.22,5.86,5.82,5.15,3.94,2.76,1.94,-1.14,-5.41,-1.73,4,7.14,3.35
JP3721600009,NIPPON PAPER INDUSTRIES,0.39,1.42,0.96,,,,,,,,,1.98,-1.3,-2.35,0.73,2.17,2.01,0.48,0.83,0.76,-1.98,1.4
JP3721800005,NIPPON SEISEN,1.2,-3.54,1.92,-2.98,2.75,3.09,6.42,4.7,6.41,5.01,0.18,1.95,7.03,5.72,4.11,4.48,4.12,4.76,5.11,7.32,6.5,3.39
JP3723000000,NIPPN,1.77,2.21,2.11,1.78,1.87,3.28,2.95,2.77,2.21,2.1,2.85,4.63,3.46,3.37,3.56,3.72,3.09,3.43,3.67,3,3.06,3.13
JP3724600006,JAPAN OIL TRSP.,0.98,1.74,1.2,1.81,2.29,2.09,2.58,2.22,1.11,1.26,-0.06,1.87,1.7,1.13,2.23,3.2,2.22,2.86,3.45,3.3,2.66,3.58
JP3725200004,NIPPON CERAMIC,4.3,7.92,4.24,0.28,2.69,4.2,3.77,3.24,3.8,0.65,2.37,4.13,5.61,3.55,2.89,2.87,2.99,3.76,4.27,5.12,4.84,3.9
JP3725400000,ZEON,2.64,1.31,1.93,0.07,1.82,2.49,3.57,6.16,6.05,3.03,1.33,2.07,6.7,6.6,4.65,5.58,5.08,4.73,5.91,3.1,4.31,4.91
JP3726200003,NIPPON SODA,2.37,0.88,1.17,-2.68,0.88,0.96,1.42,-3,2.3,3.36,4.42,5.48,3.62,4.4,3.14,3.2,5.45,6.73,4.21,3.07,2.77,3.31
JP3726800000,JAPAN TOBACCO,3.58,2.23,1.61,1.35,2.72,0.02,2.3,7.13,6.92,6.44,3.4,4.04,4.23,9.39,9.58,12.06,10.8,9.47,8.3,7.63,6.87,6.13
JP3728000005,NIPPON PRKG.DEV.,,,,,,22.14,20.64,21.43,9.73,7.37,9.97,13.84,15.18,8.87,18.67,16.26,25.27,6.73,10.36,9.77,12.37,4.58
JP3728600002,NIPPON CHUTETSUKAN KK,1.86,1.1,0.67,-3.86,1.75,1.25,1.9,-0.25,0.88,0.86,-4.67,5.07,2.53,3.6,5.58,4.64,3.06,2.08,1.91,-0.12,-27.08,3.27
JP3729000004,SHINSEI BANK,-3.11,1.75,1.74,1.36,1.18,1.31,1.27,1.23,-0.38,0.86,-0.99,-1.08,0.55,0.17,0.75,0.61,0.89,0.8,0.64,0.63,0.63,0.53
JP3729200000,NIHON CHOUZAI,,,,,,6.09,5.58,4.56,0.98,1.04,0.97,2.71,3.02,2.94,0.25,2.12,2.59,4.78,3.01,3.57,2.27,3.85
JP3729400006,NIPPON EXPRESS,2.49,2.32,-1.8,1.98,2.13,2.43,2.71,1.57,2.66,2.93,1.39,1.22,0.85,2.42,2.08,2.16,1.99,2.57,2.59,0.48,3.41,1.25
JP3729600001,JAPAN COMMS.,,,,,,-27.43,4.19,2.62,-25.36,-55,-47.68,-42.89,-9.54,24.52,6.35,15.89,4.49,-29.68,-41.36,-68.03,-26.49,-52.84
JP3732200005,NIPPON TELEVISION HDG.,7.97,10,9.32,8.13,4.45,3.95,3.36,2.71,3.5,2.05,1.12,3.29,4.05,4.26,4.44,4.49,4.37,4.9,5.1,4.36,4.3,3.3
JP3732600006,NIPPON BEET SUGAR MNFG.,1.96,0.22,1.47,1.35,1.48,1.63,1.74,1.53,1.74,1.8,1.98,2.43,1.73,1.64,1.18,1.45,1.67,1.51,1.62,1.31,1.42,1.44
JP3733000008,NEC,-2.05,1.56,1.79,-5.76,-0.57,1.5,2.06,0.79,0.27,0.7,-8.99,0.48,-0.22,-4.27,1.37,1.59,2.56,3.18,1.36,1.93,1.64,3.77
JP3733400000,NIPPON ELEC.GLASS,2.82,3.97,5.92,1.57,3.4,1.95,2.81,1.02,8.36,9.42,3.93,9.22,10.53,2.95,1.64,1.09,1.44,0.77,3.84,2.18,-4.77,2.38
JP3733800001,NEC NETWORKS & SY.INTG.,2.22,1.04,2.28,0.51,1.3,0.49,1.09,2.15,2.59,3.09,3.62,4.18,3.38,3.23,4.92,4.88,4.2,3.16,3.51,3.84,4.45,4.57
JP3734350006,NIHON DENGI,,,,3.4,3.62,3.65,3.07,1.87,3.45,3.89,5.81,4.73,4.05,2.89,3.6,5.97,5.54,6.6,7.06,6.96,7.07,9
JP3734600004,NIPPON DENKO,0.7,0.84,-3.18,0.58,0.05,5.52,6.09,1.71,8.89,17.5,0.42,8.71,6.45,-0.67,3.24,11.71,-13.38,0.06,8.93,2.57,-14.9,3.65
JP3734800000,NIDEC,4.48,4.39,4.79,2.48,2.39,3.27,7.5,8.1,6.82,6.54,4.35,7.65,7.45,5.37,0.93,5.3,6.13,6.82,7.54,7.97,6.48,3.35
JP3735000006,JEOL,1.07,1.37,1.39,1.65,-0.63,1.09,1.66,1.55,2.88,0.12,-1.35,0.58,0.7,-9.13,2.17,4.33,2.02,3.87,0.62,4.25,5.18,4.32
JP3735300000,JAPAN ELT.MATERIALS,4.02,3.1,10.23,3.11,8.67,7.49,9.93,9.67,11.01,2.03,-8.62,-4.35,2.24,-0.3,-1.18,0.74,5.57,2.14,0.5,1.87,4.65,5.73
JP3735400008,NIPPON TELG. & TEL.,4.23,-0.14,2.88,-3.54,1.63,4,4.28,3.02,2.91,3.8,3.22,2.92,2.94,2.66,2.96,3.2,2.75,3.8,4.05,4.52,4.2,4.08
JP3736200001,NIPPON DENSETSU KOGYO,0.85,1.63,-1.48,1.79,1.36,1.61,1.88,1.96,2.52,3.1,3.61,3.94,3.8,2.89,3.66,3.58,4.25,4.4,4.11,4.62,3.99,4.45
JP3737800007,NIHON DEMPA KOGYO,0.32,3.91,7.86,-1.94,-2.9,2.15,3.87,4.62,5.95,7.57,-36.99,7.28,3.18,3.17,-0.17,0.61,-0.4,0.79,1.19,-15.7,0,-14.7
JP3738600000,NGK SPARK PLUG,2.15,2.55,4.37,1.74,2.62,3.96,5.68,7.22,8.69,5.48,-20.73,4.69,7.31,7.76,6.05,8.04,7.87,6.15,4.76,7.66,7.07,5.33
JP3739000002,NIHON TOKUSHU TORYO,0.62,1.48,-3.91,1.2,2.23,3.13,2.39,2.61,2.48,3.02,-0.13,1.59,3.66,3.98,4.22,6.41,6.08,7.29,7.85,5.63,3.82,3.27
JP3739400004,NIPPON THOMPSON,2.82,3.43,6.72,0.29,0.1,3.03,5,5.92,7.67,4.18,0.59,-7.34,3.98,3.44,0.1,0.82,3.39,1.79,-0.11,1.77,3.82,-0.09
JP3739600009,JAPAN TRANSCITY,0.81,0.36,-3.53,1.21,0.71,1.64,4.44,0.43,3.04,2.81,1.94,2.66,3.04,3.64,2.32,3.08,3.05,3.15,3.95,1.89,2.3,2.61
JP3739700007,NIHON TRIM,,,8.52,10.84,11.94,13.57,12.69,8.26,6.8,3.78,1.99,4.68,6.49,8.11,10.34,14.19,6.36,9.39,8.34,4.97,5.43,0.99
JP3740200005,NIPPON ROAD,0.3,-0.91,0.58,-3.81,-0.08,0.75,0.34,0.69,-0.47,0.85,1.37,2.98,1.75,1.81,3.1,4.04,5.05,3.42,3.14,1,3.04,4.58
JP3740800002,NIPPON DRY CHEMICAL,,,,,,,,,,,,,,,,,,,,,,
JP3741800001,NIHON NOHYAKU,0.55,0.17,0.17,0.47,0.34,0.35,1.3,2.3,3.59,4.54,3.75,3.64,4.74,4.79,8.82,9.72,7.62,1.32,2.26,3.12,3.28,5.01
JP3742600004,NHK SPRING,0.54,1.08,-0.54,1.48,1.53,3,3.35,4.86,4.48,5.37,1.7,3.32,5.67,4.68,5.13,5.67,4.9,4.23,4.85,3.76,1.28,0.87
JP3743000006,NH FOODS,2,2.86,4.61,3.25,0.91,2.06,2.23,0.17,2.35,0.41,0.39,2.97,3.08,2.15,2.97,4.21,5.03,3.4,5.17,5.22,2.84,2.8
JP3744200001,VALQUA,-12.59,1.97,-14.5,-0.45,2.6,4.12,4.48,5.32,7.32,7.31,2.54,1.81,5.25,4.49,2.2,3.41,4.34,4.18,5.36,7.98,8.3,6.1
JP3744600002,NIHON PARKERIZING,0.17,1.37,0.96,1.42,2.29,3.41,5.44,6.2,5.7,6.35,3.83,3.76,6.32,5.09,6.22,6.58,5.7,5.53,6.38,6.14,5.24,4.39
JP3745800007,NIPPON HUME,-1.13,-0.99,-6.89,1.45,1.57,1.55,1.81,3.63,3.12,2.88,1.53,2.51,2.03,2.08,4.94,4.67,8.17,4.06,3.07,3.46,4.22,4.33
JP3746000003,NIPPON BS BROADCASTING,,,,,,,,,,,,0.69,14.47,15.02,16.2,11.29,8.66,9.46,9.15,9.12,5.97,7.26
JP3746800006,JBCC HOLDINGS,4.2,5.19,3.25,5.86,1.35,1.53,2.72,3.3,3.96,4.35,2.86,0.44,0.59,0.33,2.34,0.67,0.8,1.14,3.56,3.66,6.11,6.09
JP3746820004,NIPPON VIEW HOTEL DEAD - DELIST.29/08/19,,,,,,,,,,,,4.43,2.96,3.7,2.27,2.27,2.93,3.28,-6.3,1.57,-4.59,
JP3746900004,SEIKO PMC,6.11,5.37,3.26,3.14,1.75,1.58,3.9,4.1,1.37,0.94,1.43,4.83,4.2,1.35,3.18,-0.05,3.72,6.1,6.44,4.86,5.8,4.64
JP3747400004,NIPPON PISTON RING,0.49,1.1,0.45,-4.23,1.19,5.59,1.87,3.8,1.37,1,-6.32,-3.24,3.75,7.75,3.86,2.59,3.67,2.67,4,3.61,3.06,0.85
JP3747800005,NIPPON PILLAR PACKING,2.12,3.24,9.38,3.07,3.52,1.75,7.25,4.05,7.42,4.81,-0.45,-1.51,8.78,6.3,4.46,5,4.96,5.75,7.02,6.77,7.15,5
JP3748600008,NIPPON FILCON,0.9,2.04,1.78,2.3,4.59,4.7,6.92,6.52,3.21,1.71,-6.41,-7.81,2.19,-4.29,4.16,3.98,4.83,4.89,6.17,2.44,-0.95,-0.05
JP3749000000,NIPPON FELT,1.81,1.68,4.03,3.76,2.89,3.37,3.38,3.97,4.96,4.66,2.93,0.59,4.48,3.74,2.52,2.66,2.6,2.63,2.35,2.64,2.31,1.99
JP3749200006,NIHON PLAST,2.3,3.83,1.63,-1.97,0.45,1.23,-1.28,5.46,4.14,3.64,-6.02,-0.9,6.08,4.19,-5.6,1.84,3.28,2.92,5.36,2.79,5.45,3.48
JP3749400002,NIPPON PAINT HOLDINGS,-0.43,1.98,2.86,0.56,2.65,3.37,3.37,2.93,2.9,2.49,0.92,3.67,5.62,4.75,7.27,10.64,32.09,5.73,4.35,4.94,3.31,3.17
JP3750200002,NIPPO,0.63,1.34,1.28,0.98,0.76,-4.57,1.25,1.32,1.39,0.64,0.99,3.14,2.09,2,3.69,5.2,4.95,6.2,5.91,5.31,4.96,4.47
JP3750400008,MICRONICS JAPAN,-2.31,5.56,2.52,-1.27,4.24,4.6,6.46,9.87,7.78,9.16,-8.15,0.64,-7.75,-15.49,4.1,9.62,15.48,1.44,3.23,6.74,2.49,
JP3750500005,MCDONALD'S HOLDINGS,,,4.46,-0.81,-3.39,1.91,0.04,0.83,4.02,6.27,6.46,3.97,6.36,5.79,2.38,-10.9,-18.97,3.1,12.85,10.81,8.02,9.07
JP3752500003,MORTGAGE SERVICE JAPAN,,,,,,,,,,,,,,,,,,2.36,3.2,2.89,4.35,6.16
JP3752600001,NIPPON YAKIN KOGYO,-4.68,-1.37,0.96,-1.27,-20.87,3.93,15.03,4.34,9.08,9.63,-5.84,-7.8,-6.47,1.33,-4.31,0.91,2.33,1.48,2.38,3.82,5.62,3.78
JP3752800007,NIHON YAMAMURA GLASS,0.81,1.46,-4.14,-0.53,0.01,0.97,1.88,2.34,2.24,1.89,0.79,3.1,2.28,1.28,0.33,-2.42,5.61,1.34,1.59,0.22,0.23,0.27
JP3752900005,JAPAN POST HOLDINGS,,,,,,,,,,,,0.15,0.14,0.16,0.19,0.16,0.16,0.15,-0.01,0.16,0.17,0.17
JP3753000003,NIPPON YUSEN KK,1.98,2.22,4.05,2.53,1.92,3.45,5.7,6.11,3.78,5.8,3.38,0.1,4.21,-2.68,1.35,1.87,2.29,1.05,-11.7,1.53,-0.99,2.7
JP3753400005,NOF,0.93,2.62,1.23,1.72,1.54,2.45,4.66,3.64,3.88,3.7,1.57,2.31,4.49,4.82,5.55,5.77,6.31,6.96,8.55,8.8,9.23,8.87
JP3753800006,MITSUBISHI LOGISNEXT,0.36,1.06,-3.47,0.14,-2.34,4.19,3.71,4.31,4.85,2.7,0.67,-1.32,0.81,1.55,1.76,2.69,3.14,2.81,1.41,0.92,2.17,-0.96
JP3754200008,NIHON UNISYS,1.43,1.79,2.32,-2.79,3.88,1.95,2.3,0.93,1.65,1.18,-3.24,2.06,1.66,-6.38,0.86,3.45,3.78,4.7,5.48,6.18,7.01,8.67
JP3754300006,NIPPON PAPER GROUP (OTC) DEAD - DELIST.30/05/14,,,,0.87,1.07,1.99,1.85,1.35,1.81,0.59,-0.82,2.58,-0.85,-1.94,1.24,,,,,,,
JP3754500001,JAPAN LIFELINE,8.88,6.39,1.62,2.17,2.1,2.7,2.5,4.05,2.58,1.22,0.94,2.71,3.51,3,2.05,-0.61,3.78,8.36,14.33,15.06,12.32,11.26
JP3755200007,RELO GROUP,3.88,5.5,4.95,7.34,3.17,6.7,5.08,7.61,7.84,8.08,6.37,7.42,7.02,7.97,9.52,9.28,9.67,9.41,10.17,9.69,9.62,2.16
JP3755800004,ECONACH HOLDINGS,-13.9,-24.75,-25.43,-26.53,-3.28,-29.43,5.28,-11.08,-1.11,0.05,-6.81,0.65,1.76,3.05,2.11,-0.57,-0.54,-7.35,0.86,3.63,3.79,3.61
JP3756100008,NITORI HOLDINGS,2.91,3.99,4.2,6.37,8.53,10.37,8.95,8.97,9.33,9.47,10.05,11.79,13.57,13.32,13.17,12.81,11.48,11.53,13.39,12.48,11.79,11.21
JP3756200006,NIFCO,3.25,3.93,6.37,3.65,3.88,0.62,3.37,5.49,8.63,8.75,3.62,4,6.21,5.4,3.59,5.12,5.61,6.78,7.37,7.63,7.57,6.4
JP3756230003,NIHON FLUSH,,,,,,,,,3.69,5.03,2.3,-1.03,1.29,7,12.75,11.93,12.21,11.14,9.52,10.3,9.91,11.98
JP3756600007,NINTENDO,9.88,6.24,9.85,9.68,6.07,3.2,8.23,8.66,12.86,15.41,15.68,13.04,4.67,-2.97,0.52,-1.73,3.23,1.28,7.64,9.26,12.06,14.8
JP3758020006,NEXYZ GROUP,,,0.57,0.53,1.9,3.48,4.65,-23.76,-11.9,-5.64,-9.16,0.99,0.61,5.51,16.37,2.9,8.29,10.73,13.94,13.82,11.06,-14.55
JP3758110005,BEENOS,,,,,22.71,18.03,3.5,-6.15,-10.93,0.45,1.41,1.19,-0.99,-5.31,0.64,-6.19,10.22,8.2,7.35,6.14,6.35,9.13
JP3758130003,UNITED,,,,,,,,9.74,12.16,3.94,-11.59,5.7,2.44,12.15,-3.38,1.36,6.16,14.77,7.84,6.92,20.09,3.11
JP3758140002,LIFULL,,,,,,,,20.3,11.59,6.31,5.13,11.88,11.4,4.74,5.72,10.83,7.66,11.44,4.07,10.55,6.68,2.54
